000418 小天鹅Ａ 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额   涨幅   是否涨停
2014/09/02,null,null	11.67	11.98	11.59	11.87	5443314	63978840.00
2014/09/03,NaN%,否	11.86	11.90	11.64	11.78	6042074	70989232.00
2014/09/04,NaN%,否	11.80	11.88	11.69	11.82	3786872	44719724.00
2014/09/05,NaN%,否	11.85	12.06	11.74	11.97	4080699	48566392.00
2014/09/09,NaN%,否	12.08	12.10	11.80	11.91	3063460	36456668.00
2014/09/10,NaN%,否	11.90	11.94	11.73	11.85	2590256	30647928.00
2014/09/11,NaN%,否	11.85	11.99	11.66	11.73	4013626	47510680.00
2014/09/12,NaN%,否	11.73	11.94	11.68	11.91	3027664	35728560.00
2014/09/15,NaN%,否	11.90	11.90	11.72	11.80	3517095	41430512.00
2014/09/16,NaN%,否	11.83	11.86	11.26	11.26	6005706	69363320.00
2014/09/17,NaN%,否	11.31	11.40	10.98	11.26	5060044	56625940.00
2014/09/18,NaN%,否	11.21	11.37	11.18	11.33	2055795	23216852.00
2014/09/19,NaN%,否	11.33	11.62	11.33	11.54	2772511	31863734.00
2014/09/22,NaN%,否	11.55	11.55	11.30	11.32	2385955	27141574.00
2014/09/23,NaN%,否	11.29	11.52	11.29	11.42	2458271	28044736.00
2014/09/24,NaN%,否	11.42	11.78	11.33	11.62	5791088	66813376.00
2014/09/25,NaN%,否	11.64	11.88	11.60	11.68	7747936	90703456.00
2014/09/26,NaN%,否	11.69	11.76	11.40	11.51	6782526	78364208.00
2014/09/29,NaN%,否	11.51	11.67	11.40	11.62	4772976	55107608.00
2014/09/30,NaN%,否	11.61	11.82	11.60	11.78	4922972	57728388.00
2014/10/08,NaN%,否	11.85	12.04	11.70	11.99	7044896	83933416.00
2014/10/09,NaN%,否	12.00	12.05	11.76	11.92	4896255	58362200.00
2014/10/10,NaN%,否	11.92	11.92	11.70	11.74	3773749	44488164.00
2014/10/13,NaN%,否	11.72	11.76	11.42	11.75	3708967	43010636.00
2014/10/14,NaN%,否	11.68	11.99	11.60	11.78	5005580	59288692.00
2014/10/15,NaN%,否	11.98	12.03	11.80	12.02	6302791	75239872.00
2014/10/16,NaN%,否	11.99	12.41	11.97	12.13	9026611	110263112.00
2014/10/17,NaN%,否	12.17	12.18	11.71	12.07	6467237	77389424.00
2014/10/20,NaN%,否	12.14	12.43	12.07	12.30	8302900	101640928.00
2014/10/21,NaN%,否	12.31	12.44	12.18	12.27	5671483	69776976.00
2014/10/22,NaN%,否	12.39	12.50	11.99	12.02	6761546	83006872.00
2014/10/23,NaN%,否	11.90	12.04	11.65	11.72	5505193	64963468.00
2014/10/24,NaN%,否	11.69	11.82	11.60	11.68	2800029	32839222.00
2014/10/27,NaN%,否	11.69	12.04	11.57	11.95	3732402	44280740.00
2014/10/28,NaN%,否	11.95	12.28	11.91	12.22	4230746	51445052.00
2014/10/29,NaN%,否	12.26	12.33	12.12	12.24	6360068	77767256.00
2014/10/30,NaN%,否	12.25	12.34	12.06	12.14	7173645	87357832.00
2014/10/31,NaN%,否	12.18	12.58	12.18	12.58	14038535	174445344.00
2014/11/03,NaN%,否	12.61	12.87	12.50	12.53	11998365	151880912.00
2014/11/04,NaN%,否	12.48	12.52	12.26	12.30	6237804	77141424.00
2014/11/05,NaN%,否	12.32	12.50	12.26	12.43	5933148	73479264.00
2014/11/06,NaN%,否	12.43	12.48	12.06	12.30	5561482	68129184.00
2014/11/07,NaN%,否	12.20	12.37	12.08	12.16	5197952	63520792.00
2014/11/10,NaN%,否	12.10	12.35	12.10	12.35	4868567	59548336.00
2014/11/11,NaN%,否	12.36	12.42	11.93	11.99	7415946	89788832.00
2014/11/12,NaN%,否	11.92	12.08	11.91	12.07	3597804	43154600.00
2014/11/13,NaN%,否	12.08	12.11	11.67	11.82	5577659	66174888.00
2014/11/14,NaN%,否	11.72	11.89	11.64	11.68	3763207	44264856.00
2014/11/17,NaN%,否	11.71	11.81	11.66	11.74	2958668	34762984.00
2014/11/18,NaN%,否	11.74	11.99	11.71	11.93	4180515	49879304.00
2014/11/19,NaN%,否	11.92	11.92	11.77	11.83	2841290	33572456.00
2014/11/20,NaN%,否	11.81	11.89	11.71	11.82	2129373	25140412.00
2014/11/21,NaN%,否	11.80	11.87	11.69	11.85	2656987	31291664.00
2014/11/24,NaN%,否	11.96	12.16	11.83	12.08	5637237	67762984.00
2014/11/25,NaN%,否	12.08	12.19	12.04	12.17	4108008	49784188.00
2014/11/26,NaN%,否	12.16	12.19	11.98	12.07	3754171	45316276.00
2014/11/27,NaN%,否	12.11	12.28	12.08	12.16	4263188	51900016.00
2014/11/28,NaN%,否	12.18	12.22	11.86	11.97	6022611	72388704.00
2014/12/01,NaN%,否	11.96	12.37	11.88	12.33	13259151	162074704.00
